comid	hhbarcode	gender	age
1	1	1	24
1	1	1	21
1	2	2	27
1	3	2	65
1	3	2	37
1	3	2	12
1	4	2	26
1	4	2	18
1	4	1	42
1	4	1	3
1	5	2	26
1	5	1	17
1	6	2	40
1	6	2	9
1	6	2	7
1	6	1	11
1	7	2	78
1	7	1	22
1	7	1	22
1	8	2	60
1	8	2	29
1	8	2	2
1	9	2	61
1	9	1	67
1	9	2	24
1	10	2	36
1	10	2	6
1	11	1	37
1	11	2	12
1	11	1	5
1	11	2	2
1	11	2	24
1	11	2	25
1	12	2	50
1	12	2	26
1	12	1	20
1	12	2	16
1	12	1	3
1	13	1	23
1	14	2	1
1	14	2	6
1	14	1	12
1	15	2	47
1	16	1	7
1	16	1	36
1	17	2	26
1	18	1	47
1	18	1	26
1	19	2	28
1	19	1	39
1	20	2	27
1	20	2	3
1	21	2	60
1	21	1	68
1	21	1	17
1	21	1	23
1	22	1	26
1	23	2	59
1	23	2	30
1	23	1	27
1	23	1	7
1	23	1	4
1	24	1	39
1	24	1	34
1	24	2	29
1	24	2	19
1	24	1	12
1	24	1	9
1	24	1	7
1	24	1	9
1	25	1	69
1	25	2	8
1	25	2	15
1	25	2	21
1	26	2	37
1	26	2	32
1	27	1	55
1	27	2	24
1	27	2	19
1	28	1	35
1	28	2	17
1	29	2	39
1	29	2	9
1	29	1	28
1	30	2	45
1	30	1	33
1	31	1	36
1	31	1	2
1	32	2	38
1	32	1	5
1	32	2	4
1	33	1	65
1	33	1	23
1	33	1	17
1	33	1	19
1	34	1	63
1	35	1	40
1	35	1	2
1	35	2	19
1	36	2	33
1	36	1	30
1	36	1	7
1	36	2	3
1	37	2	39
1	37	2	29
1	37	1	34
1	37	1	8
1	38	1	59
1	38	2	49
1	38	2	34
1	38	2	20
1	38	1	11
1	39	2	49
1	39	2	5
1	39	2	20
1	40	2	33
1	40	1	30
1	40	1	28
1	40	1	2
1	40	1	6
1	40	1	8
1	41	1	40
1	41	1	34
1	41	1	29
1	42	2	50
1	43	2	23
1	43	2	9
1	44	2	54
1	44	1	37
1	44	2	30
1	44	1	22
1	44	1	7
1	44	1	11
1	44	1	9
1	44	1	10
1	44	1	11
1	45	2	20
1	45	2	4
1	46	2	75
1	46	2	24
1	46	2	6
1	47	2	55
1	47	1	54
1	48	2	58
1	48	1	21
1	48	1	18
1	49	2	45
1	49	1	35
1	49	1	21
1	49	1	4
1	50	2	40
1	50	2	38
1	50	2	17
1	50	2	8
1	51	2	26
1	51	2	3
1	52	2	38
1	52	2	21
1	52	2	1
1	52	1	19
1	53	1	32
1	53	2	4
1	54	2	39
1	54	2	20
1	54	2	19
1	54	1	15
1	55	1	57
1	55	2	54
1	55	2	13
1	55	2	19
1	56	1	79
1	56	2	23
1	56	1	4
1	57	2	57
1	57	1	68
1	57	2	44
1	57	2	35
1	57	2	17
1	57	1	7
1	57	2	8
1	57	1	6
1	58	2	38
1	58	2	23
1	58	1	19
1	58	2	1
1	59	1	62
1	59	1	19
1	60	2	27
1	60	1	17
1	60	1	3
1	61	2	62
1	61	2	15
1	61	2	43
1	62	2	61
1	62	1	67
1	62	2	30
1	62	2	19
1	63	1	64
1	63	1	33
1	63	2	27
1	63	2	24
1	64	2	36
1	64	2	30
1	64	1	17
1	65	2	43
1	65	1	18
1	66	2	28
1	66	2	20
1	66	1	19
1	66	1	1
1	66	2	9
1	67	2	44
1	67	1	65
1	67	2	19
1	67	1	33
1	67	1	22
1	67	2	8
1	67	2	5
1	68	2	58
1	68	2	19
1	68	2	24
1	68	2	21
1	69	1	65
1	69	1	41
1	69	1	37
1	69	1	35
1	69	2	21
1	69	2	18
1	70	1	37
1	71	2	25
1	71	1	21
1	71	1	18
1	72	2	7
1	72	2	24
1	72	1	4
1	72	2	41
1	72	2	24
1	72	2	12
1	73	2	56
1	73	1	28
1	73	2	21
1	73	2	6
1	74	2	36
1	74	2	33
1	74	2	30
1	74	1	27
1	74	2	9
1	74	2	5
1	74	2	3
1	74	2	1
1	74	1	7
1	75	2	58
1	75	2	39
1	75	2	34
1	76	2	28
1	76	2	2
1	77	2	28
1	77	2	19
1	77	2	16
1	77	1	22
1	78	2	27
1	78	1	4
1	78	1	16
1	79	2	59
1	79	2	22
1	79	2	24
1	79	2	14
1	80	1	38
1	80	1	20
1	80	1	3
1	81	2	55
1	81	2	3
1	82	2	42
1	82	2	19
1	82	1	2
1	83	2	28
1	83	1	19
1	83	1	20
1	83	1	2
1	84	2	29
1	84	2	4
1	85	2	49
1	86	2	38
1	86	2	14
1	86	2	17
1	86	1	29
1	87	2	6
1	87	2	12
1	87	2	12
1	87	2	39
1	88	1	25
1	88	1	21
1	88	2	30
1	89	2	65
1	89	2	32
1	89	2	23
1	89	1	6
1	89	2	8
1	90	2	37
1	90	2	23
1	90	2	21
1	90	2	1
1	91	2	42
1	91	2	28
1	91	1	14
1	91	2	3
1	92	2	19
1	93	2	21
1	93	1	34
1	93	2	6
1	94	1	18
1	94	1	15
1	94	2	10
1	94	2	7
1	94	1	5
1	95	1	64
1	95	2	56
1	95	2	39
1	95	2	35
1	95	2	13
1	95	2	10
1	95	1	7
1	95	2	11
1	96	2	38
1	96	1	43
1	96	1	19
1	96	2	11
1	97	1	56
1	97	2	22
1	97	2	7
1	97	2	0
1	97	1	1
1	98	1	41
1	98	1	7
1	99	2	32
1	99	2	29
1	99	2	24
1	99	2	18
1	99	1	1
1	100	1	60
1	100	2	55
1	100	2	39
1	100	1	15
1	100	1	20
1	100	2	6
1	101	2	56
1	101	2	23
1	101	2	13
1	102	2	52
1	102	1	55
1	102	1	42
1	103	2	34
1	103	2	31
1	103	2	23
1	103	1	11
1	103	2	5
1	103	2	8
1	103	1	1
1	104	2	45
1	104	2	19
1	105	2	49
1	105	1	55
1	105	1	42
1	106	2	39
1	106	2	21
1	106	1	4
1	106	2	2
1	107	2	23
1	107	2	23
1	107	2	10
1	107	1	7
1	107	1	3
1	108	2	39
1	108	1	20
1	108	1	18
1	108	1	17
1	109	2	44
1	109	2	19
1	109	2	23
1	110	2	49
1	110	2	22
1	110	2	18
1	111	2	37
1	111	2	20
1	111	2	19
1	112	1	25
1	112	1	29
1	112	2	27
1	112	2	14
1	113	2	58
1	114	2	48
1	114	2	33
1	114	1	28
1	114	2	14
1	115	1	60
1	115	1	39
1	115	2	33
1	115	2	27
1	115	2	20
1	115	1	15
1	115	2	9
1	116	2	41
1	116	2	33
1	117	2	56
1	117	2	40
1	117	2	7
1	117	2	16
1	117	2	12
1	117	2	9
1	118	2	44
1	118	2	29
1	118	2	20
1	118	2	13
1	118	2	13
1	118	1	13
1	118	1	8
1	119	2	61
1	119	2	22
1	119	2	19
1	119	2	15
1	119	2	6
1	120	1	73
1	120	2	57
1	120	2	22
1	120	2	12
1	120	1	32
1	120	2	15
1	120	1	9
1	121	1	28
1	121	2	22
1	121	2	20
1	121	1	6
1	121	2	21
1	122	1	29
1	122	2	24
1	122	2	14
1	123	1	74
1	123	2	63
1	123	2	31
1	123	1	15
1	123	1	3
1	124	1	34
1	124	2	35
1	124	1	31
1	124	2	22
1	124	1	28
1	124	2	27
1	124	1	4
1	124	2	1
1	124	2	52
1	125	2	26
1	125	1	27
1	125	1	9
1	125	2	11
1	125	1	5
1	126	1	20
1	126	1	15
1	126	2	11
1	126	2	7
1	126	2	4
1	126	1	9
1	127	1	17
1	127	2	45
1	128	2	78
1	128	1	38
1	128	2	15
1	129	1	32
1	129	2	3
1	130	1	46
1	130	2	10
1	130	2	5
1	130	1	11
1	131	1	57
1	131	2	46
1	131	2	33
1	131	2	20
1	131	1	10
1	132	2	52
1	132	1	28
1	132	2	28
1	132	2	24
1	132	2	21
1	132	1	20
1	132	1	3
1	132	2	3
1	132	1	10
1	133	1	42
1	133	2	39
1	133	2	15
1	133	2	10
1	133	1	2
1	133	2	40
1	133	1	29
1	133	2	28
1	134	2	39
1	134	1	18
1	134	2	14
1	134	2	7
1	134	1	30
1	134	2	22
1	134	2	58
1	134	1	11
1	135	1	42
1	135	2	21
1	135	2	15
1	135	2	10
1	135	1	2
1	135	2	40
1	135	1	28
1	135	2	27
1	136	1	42
1	136	1	29
1	136	2	27
1	136	2	21
1	136	2	15
1	136	1	2
1	136	2	10
1	136	2	39
1	137	1	27
1	137	1	23
1	138	2	35
1	138	1	37
1	138	2	30
1	138	1	29
1	139	1	27
1	139	1	26
1	139	2	23
1	139	1	19
1	139	2	5
1	139	1	3
1	139	2	1
1	140	1	16
1	140	2	10
1	141	1	41
1	141	1	43
1	141	2	48
1	142	2	45
1	142	2	18
1	143	1	39
1	143	1	4
1	143	2	25
1	144	1	46
1	144	1	52
1	144	1	39
1	144	2	25
1	145	2	67
1	145	2	43
1	145	2	38
1	146	2	67
1	146	2	34
1	146	1	19
1	146	1	8
1	147	2	35
1	148	1	49
1	148	2	25
1	148	2	18
1	148	1	16
1	148	1	7
1	149	1	44
1	149	1	21
1	149	2	17
1	150	2	51
1	150	2	25
1	150	1	19
1	150	2	13
1	151	2	27
1	151	2	3
1	152	2	30
1	152	2	21
1	153	2	25
1	153	2	22
1	153	1	28
1	153	2	4
1	154	2	51
1	154	2	22
1	154	2	19
1	154	1	25
1	154	1	17
1	155	2	29
1	155	1	25
1	155	2	18
1	156	2	59
1	156	2	20
1	156	2	18
1	156	1	4
1	157	2	29
1	157	1	4
1	157	1	13
1	158	2	28
1	158	1	22
1	158	1	19
1	158	1	2
1	159	2	46
1	159	2	23
1	159	2	19
1	159	1	4
1	160	2	54
1	160	2	27
1	160	2	24
1	160	2	13
1	160	2	1
1	161	2	62
1	161	2	29
1	161	1	20
1	161	1	16
1	161	1	12
1	162	2	45
1	162	2	35
1	163	1	32
1	163	2	2
1	164	1	24
1	164	2	8
1	164	2	4
1	164	2	2
1	164	1	1
1	165	1	39
1	165	2	46
1	165	1	12
1	165	1	15
1	165	1	9
