country,year,pop,prev100k,mort100knotbhiv,inc100k,tbhivinc100k,CDR,inchi,inclo,prevhi,prevlo,tbhinchi,tbhinclo,morthi,mortlo
ZA,1990,36793907,429,37,301,23,73,416,204,829,150,35,13,74,17
ZA,1991,37690924,416,36,301,34,68,416,205,798,149,52,20,70,16
ZA,1992,38641823,400,34,302,48,71,405,215,750,148,69,31,64,16
ZA,1993,39609488,377,31,305,67,74,393,227,680,147,92,46,55,15
ZA,1994,40542036,372,31,309,89,72,389,238,646,160,118,64,52,17
ZA,1995,41402400,352,28,317,112,56,382,258,587,158,142,86,44,17
ZA,1996,42175740,335,24,332,140,78,400,270,561,147,175,109,40,14
ZA,1997,42873355,328,20,360,169,82,430,295,550,134,208,135,35,11
ZA,1998,43516225,361,23,406,207,80,489,331,603,151,254,165,40,12
ZA,1999,44137342,426,30,479,259,70,577,390,699,193,316,207,48,17
ZA,2000,44760380,524,43,576,321,59,694,468,846,255,391,257,62,27
ZA,2001,45389577,615,51,683,391,48,823,556,989,302,476,314,74,33
ZA,2002,46015405,692,57,780,454,60,940,634,1112,342,552,365,83,37
ZA,2003,46631364,736,57,852,499,57,1027,693,1189,354,607,402,86,36
ZA,2004,47226670,775,60,898,527,63,1082,731,1248,372,641,425,90,37
ZA,2005,47792787,788,58,925,544,61,1115,753,1270,374,661,438,89,35
ZA,2006,48330914,797,57,940,555,67,1133,765,1285,374,674,447,88,34
ZA,2007,48842462,789,53,948,560,68,1143,771,1285,358,681,452,85,31
ZA,2008,49319363,792,51,960,569,73,1157,781,1288,358,693,458,84,29
ZA,2009,49751503,809,52,971,563,75,1165,794,1287,372,673,463,80,32
ZA,2010,50132817,795,50,981,591,72,1173,806,1264,364,704,488,75,31
