country,year,pop,prev100k,mort100knotbhiv,inc100k,tbhivinc100k,CDR,inchi,inclo,prevhi,prevlo,tbhinchi,tbhinclo,morthi,mortlo
ZM,1990,7860053,646,64,710,426,30,803,623,1351,245,610,274,128,23
ZM,1991,8067972,629,61,736,463,39,825,652,1154,278,591,351,103,30
ZM,1992,8272498,606,55,756,494,41,842,675,1045,286,594,403,86,31
ZM,1993,8478471,595,51,772,515,47,854,694,959,293,593,443,73,33
ZM,1994,8692599,590,48,782,529,52,860,708,956,286,605,459,70,30
ZM,1995,8919456,586,45,788,537,51,862,718,942,283,609,469,67,29
ZM,1996,9161931,584,45,790,539,56,860,722,940,280,611,471,67,28
ZM,1997,9418120,576,42,784,535,,850,720,927,274,606,469,65,26
ZM,1998,9682058,561,39,766,524,,828,706,909,260,592,461,62,23
ZM,1999,9945115,543,36,742,507,61,800,686,883,246,571,447,58,20
ZM,2000,10201562,520,34,713,485,68,768,660,851,232,546,428,55,19
ZM,2001,10449825,494,29,678,461,65,731,627,817,213,519,406,51,15
ZM,2002,10693471,468,26,645,438,79,695,596,780,192,494,385,47,13
ZM,2003,10938261,443,22,617,418,80,667,569,739,174,472,367,41,11
ZM,2004,11192422,426,21,591,400,82,641,542,710,169,452,350,40,11
ZM,2005,11462365,408,21,566,382,76,616,518,681,160,434,333,39,11
ZM,2006,11750105,390,21,543,368,75,593,494,651,159,418,320,38,11
ZM,2007,12055384,378,21,521,356,74,571,472,584,176,391,324,27,17
ZM,2008,12379612,360,20,500,341,71,551,452,557,166,375,309,26,16
ZM,2009,12723746,355,21,482,324,73,533,433,548,165,357,291,26,16
ZM,2010,13088570,345,20,462,302,73,510,417,534,159,332,273,25,15
