-1 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
0 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000 400000
5 195803 201944 207915 213724 219381 224893 230267 235510 240629 245629 250514 255292 259964 264536 269012 273393 277687 281893 286015 290058 294019 297910 301722 305465 309139 312740 316328 319845 323301 326699 330027 333372 336647 339823 342905 345935 348896 351787 354617 357387 360084 362741 365323 367854 370330 372723 375035 377262 379391 381416 383349 385094 386725 388193 389401 390532 391466 392313 393054 393677 394261 394793 395288 395752 396185 396586 396956 397298 397611 397897 398158 398395 398610 398802 398975 399128 399264 399384 399489 399579 399658
10 178888 185313 191581 197700 203676 209515 215225 220809 226274 231624 236862 241996 247025 251956 256792 261532 266187 270751 275232 279632 283948 288192 292356 296447 300467 304411 308346 312206 315999 319727 323381 327053 330650 334146 337543 340879 344144 347331 350453 353507 356482 359411 362258 365048 367776 370412 372958 375408 377748 379970 382087 383995 385775 387371 388679 389901 390904 391813 392605 393270 393892 394459 394987 395482 395944 396371 396766 397130 397463 397768 398046 398298 398526 398731 398914 399077 399221 399348 399459 399555 399638
15 168862 175397 181788 188040 194158 200149 206018 211768 217405 222932 228352 233673 238892 244016 249048 253986 258842 263608 268292 272896 277417 281867 286237 290534 294760 298909 303060 307132 311133 315062 318917 322799 326603 330301 333895 337425 340882 344259 347568 350806 353962 357071 360093 363055 365952 368752 371458 374062 376548 378907 381155 383179 385066 386756 388137 389426 390483 391438 392270 392967 393619 394213 394767 395284 395768 396216 396629 397010 397358 397677 397967 398230 398468 398681 398872 399042 399192 399324 399440 399540 399626
20 155533 162172 168685 175076 181351 187511 193564 199508 205350 211091 216734 222284 227740 233106 238385 243574 248685 253711 258657 263526 268312 273031 277670 282238 286736 291156 295571 299909 304176 308373 312495 316637 320701 324665 328531 332328 336050 339690 343258 346752 350161 353518 356784 359986 363118 366149 369083 371908 374610 377179 379629 381835 383891 385732 387232 388632 389776 390809 391709 392461 393165 393806 394403 394962 395483 395965 396409 396817 397191 397533 397843 398124 398378 398605 398809 398989 399149 399289 399411 399517 399607
25 139123 145801 152384 158875 165275 171583 177805 183939 189987 195952 201831 207633 213351 218990 224553 230034 235446 240779 246039 251228 256339 261387 266358 271262 276098 280859 285607 290279 294885 299426 303891 308359 312749 317054 321274 325421 329492 333478 337389 341223 344968 348654 352246 355768 359216 362556 365799 368926 371923 374778 377503 379961 382252 384302 385967 387520 388786 389928 390921 391751 392527 393235 393893 394508 395082 395612 396099 396547 396957 397330 397669 397976 398252 398499 398719 398915 399088 399239 399370 399484 399582
30 123311 129914 136458 142943 149370 155733 162038 168278 174456 180572 186621 192612 198536 204397 210195 215925 221599 227204 232748 238229 243641 248999 254288 259515 264681 269776 274848 279850 284796 289687 294505 299304 304029 308686 313276 317791 322230 326585 330864 335063 339170 343215 347163 351036 354830 358513 362091 365546 368865 372036 375065 377803 380357 382641 384494 386223 387630 388897 390000 390920 391779 392565 393294 393975 394611 395196 395735 396229 396680 397091 397463 397799 398102 398373 398614 398827 399015 399179 399322 399446 399551
35 107676 114097 120499 126881 133240 139568 145871 152138 158370 164567 170721 176840 182913 188944 194932 200869 206766 212611 218408 224157 229850 235501 241094 246635 252125 257553 262949 268282 273575 278826 284010 289160 294242 299273 304253 309159 313992 318743 323418 328014 332518 336958 341299 345562 349743 353809 357757 361577 365257 368785 372160 375217 378072 380629 382705 384642 386219 387639 388874 389905 390867 391747 392563 393325 394034 394688 395289 395839 396341 396797 397211 397583 397918 398217 398483 398719 398925 399106 399263 399398 399513
40 92987 99114 105261 111426 117604 123785 129975 136159 142340 148513 154670 160820 166949 173058 179148 185208 191250 197259 203239 209189 215100 220985 226827 232633 238401 244120 249805 255439 261050 266636 272165 277653 283083 288479 293841 299133 304361 309514 314596 319604 324525 329383 334145 338829 343432 347920 352287 356525 360619 364557 368335 371773 374994 377890 380252 382460 384263 385889 387305 388491 389596 390607 391544 392418 393231 393980 394667 395295 395867 396387 396858 397281 397661 398000 398301 398567 398800 399004 399180 399331 399460
