comid	hhbarcode	gender	age
1	1	2	62
1	1	1	12
1	1	1	12
1	1	1	39
1	2	1	25
1	3	1	42
1	3	2	15
1	3	2	17
1	4	1	36
1	4	1	6
1	4	2	3
1	4	1	1
1	5	1	21
1	5	1	19
1	5	2	16
1	6	1	48
1	6	2	12
1	6	2	2
1	7	1	54
1	7	2	48
1	7	1	23
1	7	2	10
1	8	1	34
1	8	2	21
1	8	1	4
1	8	2	2
1	9	2	25
1	10	1	22
1	10	1	32
1	10	1	29
1	10	1	9
1	10	1	12
1	10	1	7
1	10	1	41
1	10	2	16
1	10	1	2
1	11	1	42
1	11	2	28
1	11	1	21
1	11	1	17
1	11	1	16
1	11	1	14
1	11	2	1
1	12	2	2
1	13	1	20
1	14	1	48
1	14	2	42
1	14	2	19
1	14	2	16
1	15	1	23
1	15	1	19
1	15	1	2
1	15	2	14
1	16	1	71
1	16	2	34
1	16	1	29
1	16	2	13
1	16	1	9
1	17	2	30
1	17	2	18
1	17	2	14
1	17	2	12
1	18	1	32
1	18	2	36
1	19	1	28
1	19	1	27
1	20	1	35
1	20	1	13
1	20	1	12
1	20	2	4
1	21	1	25
1	22	1	34
1	22	2	12
1	22	1	7
1	23	2	67
1	23	2	28
1	23	1	26
1	23	2	23
1	23	1	41
1	23	1	6
1	23	1	8
1	24	1	36
1	24	1	15
1	24	2	11
1	24	2	8
1	24	1	5
1	24	1	2
1	25	2	30
1	25	2	24
1	25	1	20
1	25	1	17
1	26	2	20
1	27	1	17
1	27	1	14
1	27	1	11
1	27	2	56
1	28	1	35
1	28	1	14
1	28	2	2
1	29	1	42
1	29	2	36
1	29	1	19
1	30	BLANK	49
1	30	BLANK	26
1	30	BLANK	23
1	30	BLANK	17
1	30	BLANK	14
1	30	BLANK	10
1	31	1	37
1	31	1	28
1	31	2	25
1	31	2	10
1	31	2	5
1	31	1	1
1	32	2	62
1	32	1	23
1	32	2	18
1	32	1	14
1	33	2	8
1	34	1	53
1	34	1	21
1	35	1	9
1	35	1	2
1	35	1	51
1	35	1	45
1	36	2	49
1	36	2	18
1	36	2	15
1	36	2	7
1	36	1	7
1	37	1	36
1	37	1	26
1	37	1	16
1	37	2	3
1	37	1	1
1	38	1	31
1	38	1	20
1	38	1	14
1	38	1	8
1	39	2	15
1	40	1	68
1	40	1	23
1	40	2	13
1	40	1	14
1	41	2	31
1	41	2	19
1	41	2	16
1	41	1	13
1	42	2	8
1	43	1	48
1	43	2	42
1	43	1	19
1	44	2	33
1	44	2	3
1	44	2	4
1	44	2	20
1	45	2	46
1	45	1	48
1	45	1	25
1	45	1	21
1	45	1	18
1	45	1	10
1	45	2	8
1	45	2	2
1	46	2	59
1	46	2	34
1	46	1	29
1	46	2	13
1	46	1	9
1	47	1	7
1	47	2	46
1	47	2	14
1	47	1	23
1	48	2	18
1	48	2	18
1	48	1	14
1	49	1	20
1	49	2	17
1	50	1	24
1	50	2	21
1	50	1	17
1	51	1	35
1	51	2	3
1	51	2	14
1	52	1	46
1	52	1	15
1	53	2	28
1	53	1	4
1	53	1	40
1	54	2	50
1	54	1	55
1	54	1	23
1	54	2	19
1	54	1	19
1	55	1	22
1	56	1	1
1	56	2	1
1	57	2	18
1	58	2	27
1	58	2	25
1	58	1	23
1	59	2	18
1	59	1	9
1	59	1	9
1	59	1	41
1	60	2	42
1	60	1	30
1	60	2	32
1	60	2	4
1	60	2	46
1	61	2	32
1	61	1	36
1	61	2	11
1	62	2	17
1	63	2	33
1	63	1	5
1	64	1	14
1	64	2	11
1	64	2	6
1	64	1	4
1	64	1	37
1	65	1	19
1	65	1	14
1	66	2	34
1	66	2	2
1	67	1	34
1	67	1	0
1	68	2	7
1	68	1	10
1	68	1	23
1	68	2	18
1	68	1	31
1	69	1	38
1	69	1	15
1	69	2	12
1	69	1	7
1	69	2	22
1	69	2	3
1	70	2	27
1	70	1	20
1	70	1	4
1	70	2	1
1	70	2	1
1	71	1	35
1	71	2	13
1	71	1	10
1	71	1	4
1	71	2	3
1	72	1	46
1	72	2	37
1	72	2	17
1	72	1	14
1	73	1	33
1	73	2	3
1	73	2	2
1	73	1	26
1	74	1	22
1	74	2	17
1	74	1	11
1	75	1	30
1	75	2	9
1	76	1	30
1	77	1	29
1	77	1	9
1	77	2	5
1	77	1	2
1	78	1	53
1	78	2	45
1	78	2	25
1	78	1	21
1	78	1	15
1	78	1	12
1	78	1	21
1	78	2	2
1	79	1	40
1	79	1	37
1	79	1	18
1	79	1	7
1	79	2	5
1	79	2	3
1	79	2	1
1	80	1	6
1	80	2	3
1	80	1	28
1	80	1	37
1	81	1	35
1	82	2	6
1	82	1	7
1	82	2	9
1	82	2	11
1	82	1	12
1	82	1	2
1	83	2	34
1	83	1	11
1	83	1	9
1	83	1	2
1	83	1	5
1	84	2	3
1	85	1	26
1	85	2	16
1	85	2	4
1	86	1	31
1	86	2	3
1	87	1	26
1	87	2	6
1	88	2	14
1	88	2	6
1	88	2	16
1	88	1	41
1	89	1	33
1	89	2	30
1	89	2	25
1	89	1	17
1	89	1	19
1	89	2	12
1	89	2	14
1	89	2	35
1	90	1	4
1	91	1	10
1	91	2	7
1	91	2	1
1	92	1	85
1	92	2	12
1	93	1	28
1	93	2	26
1	93	2	4
1	94	2	29
1	94	1	47
1	94	1	10
1	94	2	5
1	94	1	2
1	95	1	29
1	95	2	14
1	95	2	1
1	96	1	93
1	96	1	26
1	96	1	24
1	96	2	18
1	96	1	15
1	96	1	6
1	97	2	30
1	97	1	5
1	98	2	44
1	98	2	71
1	98	2	26
1	98	2	19
1	98	1	17
1	98	1	12
1	98	1	2
1	98	2	2
1	98	1	5
1	98	1	3
1	98	1	1
1	99	1	30
1	99	1	19
1	99	1	16
1	99	2	5
1	99	2	3
1	100	1	38
1	100	2	20
1	100	1	12
1	100	1	10
1	100	1	6
1	100	1	1
1	101	2	28
1	101	2	3
1	101	1	16
1	102	1	34
1	102	1	10
1	102	2	6
1	102	2	2
1	103	1	25
1	103	1	23
1	103	1	9
1	104	1	22
1	104	1	18
1	104	1	18
1	104	1	29
1	104	2	17
1	104	2	11
1	104	1	8
1	104	1	7
1	104	1	44
1	105	2	49
1	105	1	20
1	105	2	18
1	106	1	30
1	106	1	5
1	106	1	2
1	107	2	43
1	107	2	21
1	107	2	19
1	107	1	3
1	108	1	29
1	108	2	26
1	108	2	15
1	108	2	16
1	108	1	6
1	109	2	42
1	109	2	14
1	109	2	2
1	110	1	25
1	110	2	49
1	110	2	14
1	110	1	13
1	110	2	8
1	110	1	8
1	110	1	8
1	110	1	4
1	111	1	84
1	111	1	25
1	111	1	14
1	111	1	14
1	112	1	49
1	112	2	23
1	112	1	21
1	112	1	19
1	113	2	37
1	113	2	17
1	113	2	11
1	113	1	7
1	113	2	1
1	114	2	55
1	115	1	32
1	115	1	33
1	116	1	45
1	116	1	35
1	116	2	11
1	117	1	27
1	118	2	59
1	118	2	91
1	118	1	34
1	118	1	16
1	118	1	18
1	118	1	13
1	118	2	12
1	118	1	9
1	119	2	26
1	119	1	21
1	119	1	10
1	119	1	6
1	119	1	6
1	120	1	49
1	120	2	48
1	120	1	21
1	120	1	18
1	121	2	78
1	121	2	63
1	121	2	26
1	121	2	2
1	121	2	2
1	121	2	4
1	121	1	1
1	122	2	78
1	122	2	4
1	123	2	25
1	124	1	49
1	124	2	46
1	124	2	14
1	124	2	21
1	124	1	21
1	125	1	38
1	125	2	36
1	125	2	28
1	125	1	10
1	125	2	10
1	125	2	8
1	125	2	6
1	125	2	2
1	126	2	20
1	126	1	11
1	127	1	31
1	127	1	0
1	128	1	25
1	129	1	17
1	130	2	20
1	130	2	35
1	130	2	2
1	130	2	49
1	130	1	29
1	130	1	23
1	130	1	28
1	130	1	6
1	131	2	27
1	131	1	19
1	132	1	52
1	132	1	21
1	132	1	17
1	132	2	9
1	132	1	9
1	133	2	33
1	133	1	30
1	133	2	27
1	133	1	35
1	133	2	14
1	133	1	0
1	134	2	48
1	134	1	20
1	134	1	17
1	134	2	14
1	135	1	55
1	135	1	24
1	135	1	4
1	135	1	10
1	136	1	8
1	136	1	12
1	137	1	59
1	137	1	20
1	137	1	14
1	137	1	8
1	138	1	42
1	138	2	12
1	138	2	36
1	138	2	18
1	138	2	1
1	139	2	42
1	139	1	30
1	139	2	14
1	140	2	65
1	140	2	47
1	140	2	13
1	140	2	21
1	140	1	15
1	141	2	38
1	141	1	42
1	141	1	21
1	141	1	16
1	141	1	16
1	141	2	13
1	141	1	11
1	141	1	3
1	142	2	64
1	142	1	24
1	142	2	13
1	142	1	7
1	142	2	20
1	143	1	78
1	143	2	65
1	143	1	26
1	143	1	20
1	143	1	25
1	143	2	21
1	143	2	54
1	143	1	11
1	143	1	19
1	143	2	26
1	143	1	5
1	144	2	28
1	144	2	17
1	144	1	3
1	145	1	28
1	145	2	4
1	145	2	2
1	145	2	0
1	146	2	44
1	146	1	25
1	146	2	19
1	146	2	16
1	146	1	5
1	146	2	1
1	147	2	30
1	147	1	20
1	147	2	9
1	147	2	7
1	147	2	6
1	147	2	1
1	148	2	64
1	148	1	25
1	148	1	30
1	148	1	23
1	148	2	16
1	148	2	1
1	149	1	39
1	149	2	8
1	149	2	6
1	149	1	2
1	150	2	23
1	150	1	1
1	151	2	49
1	151	1	20
1	151	1	23
1	151	1	25
1	151	2	13
1	151	2	10
1	152	2	51
1	152	2	20
1	152	1	18
1	152	1	16
1	152	1	6
1	152	2	5
1	152	2	5
1	152	1	25
1	152	2	21
1	152	1	7
1	153	1	41
1	153	2	33
1	153	2	14
1	153	2	9
1	153	1	5
1	154	2	38
1	154	1	2
1	154	1	7
1	154	2	2
1	155	1	72
1	156	2	33
1	157	1	63
1	157	2	51
1	157	1	8
1	157	2	18
1	157	1	16
1	157	1	12
1	157	1	25
1	157	1	5
1	157	2	6
1	158	2	21
1	158	2	3
1	158	2	6
1	159	2	68
1	159	1	30
1	159	2	23
1	159	2	15
1	159	2	4
1	159	2	18
1	160	2	27
1	160	2	4
1	160	2	20
1	160	1	8
1	161	2	21
1	161	2	1
1	162	1	18
1	162	2	13
1	162	2	13
1	163	2	68
1	163	1	25
1	163	1	29
1	163	1	25
1	164	2	46
1	164	1	22
1	164	1	19
1	164	2	17
1	164	1	9
1	164	1	43
1	164	1	12
1	164	1	7
1	164	2	1
1	165	2	20
1	165	2	42
1	165	1	50
1	165	1	11
1	165	2	10
1	165	2	8
1	165	1	11
1	166	1	19
1	166	1	15
1	166	2	11
1	166	1	7
1	167	1	41
1	167	2	34
1	167	1	22
1	168	2	11
1	168	2	18
1	169	1	57
1	169	2	44
1	169	1	22
1	169	2	17
1	169	1	9
1	169	1	7
1	169	1	12
1	169	1	35
1	170	1	40
1	170	2	36
1	170	1	20
1	170	1	18
1	170	1	17
1	170	2	16
1	170	1	12
1	170	2	10
1	170	1	8
1	171	2	31
1	171	1	22
1	171	1	18
1	171	2	16
1	171	2	16
1	171	2	14
1	171	2	14
1	171	2	7
1	171	2	15
1	172	1	32
1	172	2	13
1	172	2	12
1	172	2	5
1	173	2	23
1	173	1	7
1	173	1	9
1	173	2	3
1	173	2	5
1	173	1	12
1	174	2	22
1	174	2	3
1	175	1	28
1	175	1	20
1	175	2	5
1	176	2	23
1	176	1	4
1	177	2	35
1	177	2	15
1	178	1	18
1	178	2	44
1	178	1	0
1	178	1	22
1	178	2	15
1	178	1	13
1	178	2	9
1	179	2	36
1	179	2	16
1	179	1	14
1	179	1	20
1	180	1	25
1	180	1	23
1	181	1	31
1	181	1	21
1	181	2	22
1	181	2	15
1	181	1	6
1	181	2	3
1	181	2	3
1	182	1	30
1	182	1	7
1	182	1	4
1	182	1	1
1	183	2	45
1	183	1	8
1	184	2	31
1	184	1	15
1	184	2	11
1	184	2	12
1	184	2	3
1	184	2	1
1	185	2	29
1	185	1	32
1	185	2	13
1	185	1	7
1	185	1	1
1	186	2	76
1	186	2	25
1	186	1	3
1	187	1	34
1	187	2	11
1	187	1	8
1	187	2	3
1	188	2	69
1	188	1	31
1	188	1	21
1	188	2	16
1	188	2	5
1	189	1	32
1	189	1	21
1	189	1	20
1	189	2	10
1	189	1	10
1	189	1	8
1	189	2	4
1	189	1	0
1	190	2	25
1	190	1	4
1	190	2	1
1	191	2	18
1	191	2	19
1	191	2	15
1	191	2	19
1	191	2	24
1	191	2	24
1	191	1	1
1	191	2	5
1	191	2	3
1	191	2	3
1	192	2	18
1	192	2	15
1	192	1	19
1	192	2	19
1	192	2	70
1	192	2	4
1	193	1	53
1	193	2	47
1	193	1	24
1	193	2	22
1	193	1	19
1	193	1	15
1	193	1	13
1	193	1	2
1	194	2	64
1	195	1	24
1	195	1	1
1	196	1	80
1	196	2	75
1	196	2	26
1	196	1	18
1	196	1	11
1	196	2	22
1	196	2	25
1	196	1	27
1	196	1	26
1	196	2	43
