year,ZA,ZM,ZW,ZAg,ZMg,ZWg
1950,13683,2340,2747,0.47061049,0.405264981,0.37723153
1955,15385,2653,3203,0.529148753,0.459473502,0.439851689
1960,17396,3044,3751,0.598314703,0.527190856,0.51510574
1965,19814,3536,4421,0.681478934,0.612400416,0.60711343
1970,22502,4138,5204,0.773929493,0.716660894,0.714638835
1975,25698,4899,6168,0.883852107,0.848458608,0.847020049
1980,29075,5774,7282,1,1,1
1985,32959,6785,8845,1.133585555,1.175095255,1.214638835
1990,36745,7910,10461,1.263800516,1.369934188,1.436555891
1995,41375,9108,11713,1.423043852,1.577416003,1.608486679
2000,44872,10467,12455,1.543319003,1.812781434,1.710381763
2005,48073,11738,12475,1.653413586,2.032906131,1.713128261
2010,50492,13257,12644,1.73661221,2.295981988,1.736336171
2015,51684,14980,14029,1.77760963,2.594388639,1.926531173
2020,52671,16916,15571,1.81155632,2.929684794,2.138286185
2025,53766,18890,16780,1.849217541,3.271562175,2.304312002
2030,54726,20889,17917,1.882235598,3.617769311,2.460450426
2035,55480,22908,18999,1.90816853,3.967440249,2.609035979
2040,56041,24937,20076,1.927463457,4.31884309,2.756934908
2045,56451,26961,21156,1.941564918,4.669379979,2.905245812
2050,56802,28957,22178,1.953637145,5.015067544,3.04559187
